step,time,id,mass,x,y,z,vx,vy,vz,radius
0,0,0,1,-0.5,0,0,0,-0.5,0,1
0,0,1,1,0.5,0,0,0,0.5,0,1
1,0.0001,0,1,-0.5,-5.0000000000000002e-05,0,9.9999999985e-05,-0.5,0,1
1,0.0001,1,1,0.5,5.0000000000000002e-05,0,-9.9999999985e-05,0.5,0,1
2,0.00020000000000000001,0,1,-0.49999999000000001,-0.0001,0,0.00019999999847000001,-0.49999999000000017,0,1
2,0.00020000000000000001,1,1,0.49999999000000001,0.0001,0,-0.00019999999847000001,0.49999999000000017,0,1
3,0.00030000000000000003,0,1,-0.49999997000000018,-0.00014999999900000002,0,0.00029999999645499996,-0.49999997000000018,0,1
3,0.00030000000000000003,1,1,0.49999997000000018,0.00014999999900000002,0,-0.00029999999645499996,0.49999997000000018,0,1
4,0.00040000000000000002,0,1,-0.49999994000000053,-0.00019999999600000003,0,0.00039999999493999942,-0.49999993999999903,0,1
4,0.00040000000000000002,1,1,0.49999994000000053,0.00019999999600000003,0,-0.00039999999493999942,0.49999993999999903,0,1
5,0.00050000000000000001,0,1,-0.49999990000000105,-0.00024999998999999994,0,0.00049999999492499774,-0.49999989999999506,0,1
5,0.00050000000000000001,1,1,0.49999990000000105,0.00024999998999999994,0,-0.00049999999492499774,0.49999989999999506,0,1
6,0.00060000000000000006,0,1,-0.49999985000000158,-0.00029999997999999946,0,0.00059999999740999405,-0.49999984999998581,0,1
6,0.00060000000000000006,1,1,0.49999985000000158,0.00029999997999999946,0,-0.00059999999740999405,0.49999984999998581,0,1
7,0.0007000000000000001,0,1,-0.49999979000000183,-0.00034999996499999802,0,0.00070000000339498719,-0.49999978999996825,0,1
7,0.0007000000000000001,1,1,0.49999979000000183,0.00034999996499999802,0,-0.00070000000339498719,0.49999978999996825,0,1
8,0.00080000000000000015,0,1,-0.49999972000000148,-0.00039999994399999488,0,0.00080000001387997555,-0.49999971999993853,0,1
8,0.00080000000000000015,1,1,0.49999972000000148,0.00039999994399999488,0,-0.00080000001387997555,0.49999971999993853,0,1
9,0.00090000000000000019,0,1,-0.49999964000000008,-0.00044999991599998872,0,0.0009000000298649576,-0.49999963999989216,0,1
9,0.00090000000000000019,1,1,0.49999964000000008,0.00044999991599998872,0,-0.0009000000298649576,0.49999963999989216,0,1
10,0.0010000000000000002,0,1,-0.49999954999999707,-0.00049999987999997794,0,0.0010000000523499315,-0.49999954999982393,0,1
10,0.0010000000000000002,1,1,0.49999954999999707,0.00049999987999997794,0,-0.0010000000523499315,0.49999954999982393,0,1
11,0.0011000000000000003,0,1,-0.49999944999999185,-0.00054999983499996036,0,0.0011000000823348953,-0.49999944999972795,0,1
11,0.0011000000000000003,1,1,0.49999944999999185,0.00054999983499996036,0,-0.0011000000823348953,0.49999944999972795,0,1
12,0.0012000000000000003,0,1,-0.49999933999998364,-0.00059999977999993317,0,0.0012000001208198464,-0.49999933999959761,0,1
12,0.0012000000000000003,1,1,0.49999933999998364,0.00059999977999993317,0,-0.0012000001208198464,0.49999933999959761,0,1
13,0.0013000000000000004,0,1,-0.49999921999997154,-0.00064999971399989291,0,0.0013000001688047824,-0.49999921999942565,0,1
13,0.0013000000000000004,1,1,0.49999921999997154,0.00064999971399989291,0,-0.0013000001688047824,0.49999921999942565,0,1
14,0.0014000000000000004,0,1,-0.49999908999995468,-0.00069999963599983546,0,0.0014000002272897005,-0.499999089999204,0,1
14,0.0014000000000000004,1,1,0.49999908999995468,0.00069999963599983546,0,-0.0014000002272897005,0.499999089999204,0,1
15,0.0015000000000000005,0,1,-0.49999894999993194,-0.00074999954499975583,0,0.001500000297274598,-0.49999894999892402,0,1
15,0.0015000000000000005,1,1,0.49999894999993194,0.00074999954499975583,0,-0.001500000297274598,0.49999894999892402,0,1
16,0.0016000000000000005,0,1,-0.49999879999990221,-0.00079999943999964828,0,0.001600000379759472,-0.49999879999857627,0,1
16,0.0016000000000000005,1,1,0.49999879999990221,0.00079999943999964828,0,-0.001600000379759472,0.49999879999857627,0,1
17,0.0017000000000000006,0,1,-0.49999863999986421,-0.00084999931999950589,0,0.0017000004757443191,-0.4999986399981507,0,1
17,0.0017000000000000006,1,1,0.49999863999986421,0.00084999931999950589,0,-0.0017000004757443191,0.4999986399981507,0,1
18,0.0018000000000000006,0,1,-0.49999846999981662,-0.00089999918399932095,0,0.0018000005862291359,-0.49999846999763647,0,1
18,0.0018000000000000006,1,1,0.49999846999981662,0.00089999918399932095,0,-0.0018000005862291359,0.49999846999763647,0,1
19,0.0019000000000000006,0,1,-0.49999828999975798,-0.00094999903099908458,0,0.0019000007122139191,-0.49999828999702212,0,1
19,0.0019000000000000006,1,1,0.49999828999975798,0.00094999903099908458,0,-0.0019000007122139191,0.49999828999702212,0,1
20,0.0020000000000000005,0,1,-0.49999809999968675,-0.0009999988599987868,0,0.0020000008546986652,-0.49999809999629541,0,1
20,0.0020000000000000005,1,1,0.49999809999968675,0.0009999988599987868,0,-0.0020000008546986652,0.49999809999629541,0,1
21,0.0021000000000000003,0,1,-0.49999789999960126,-0.0010499986699984162,0,0.0021000010146833702,-0.49999789999544342,0,1
21,0.0021000000000000003,1,1,0.49999789999960126,0.0010499986699984162,0,-0.0021000010146833702,0.49999789999544342,0,1
22,0.0022000000000000001,0,1,-0.49999768999949978,-0.0010999984599979605,0,0.0022000011931680307,-0.4999976899944526,0,1
22,0.0022000000000000001,1,1,0.49999768999949978,0.0010999984599979605,0,-0.0022000011931680307,0.4999976899944526,0,1
23,0.0023,0,1,-0.49999746999938044,-0.0011499982289974058,0,0.0023000013911526427,-0.49999746999330863,0,1
23,0.0023,1,1,0.49999746999938044,0.0011499982289974058,0,-0.0023000013911526427,0.49999746999330863,0,1
24,0.0023999999999999998,0,1,-0.49999723999924134,-0.0011999979759967367,0,0.002400001609637202,-0.49999723999199652,0,1
24,0.0023999999999999998,1,1,0.49999723999924134,0.0011999979759967367,0,-0.002400001609637202,0.49999723999199652,0,1
25,0.0024999999999999996,0,1,-0.49999699999908037,-0.0012499976999959363,0,0.0025000018496217045,-0.49999699999050057,0,1
25,0.0024999999999999996,1,1,0.49999699999908037,0.0012499976999959363,0,-0.0025000018496217045,0.49999699999050057,0,1
26,0.0025999999999999994,0,1,-0.49999674999889543,-0.0012999973999949864,0,0.0026000021121061465,-0.49999674998880433,0,1
26,0.0025999999999999994,1,1,0.49999674999889543,0.0012999973999949864,0,-0.0026000021121061465,0.49999674998880433,0,1
27,0.0026999999999999993,0,1,-0.49999648999868423,-0.0013499970749938667,0,0.0027000023980905236,-0.49999648998689078,0,1
27,0.0026999999999999993,1,1,0.49999648999868423,0.0013499970749938667,0,-0.0027000023980905236,0.49999648998689078,0,1
28,0.0027999999999999991,0,1,-0.4999962199984444,-0.0013999967239925557,0,0.0028000027085748314,-0.49999621998474209,0,1
28,0.0027999999999999991,1,1,0.4999962199984444,0.0013999967239925557,0,-0.0028000027085748314,0.49999621998474209,0,1
29,0.0028999999999999989,0,1,-0.49999593999817354,-0.0014499963459910299,0,0.0029000030445590656,-0.49999593998233971,0,1
29,0.0028999999999999989,1,1,0.49999593999817354,0.0014499963459910299,0,-0.0029000030445590656,0.49999593998233971,0,1
30,0.0029999999999999988,0,1,-0.49999564999786911,-0.001499995939989264,0,0.0030000034070432223,-0.4999956499796645,0,1
30,0.0029999999999999988,1,1,0.49999564999786911,0.001499995939989264,0,-0.0030000034070432223,0.4999956499796645,0,1
31,0.0030999999999999986,0,1,-0.49999534999752843,-0.0015499955049872304,0,0.0031000037970272971,-0.49999534997669653,0,1
31,0.0030999999999999986,1,1,0.49999534999752843,0.0015499955049872304,0,-0.0031000037970272971,0.49999534997669653,0,1
32,0.0031999999999999984,0,1,-0.49999503999714873,-0.0015999950399849,0,0.0032000042155112852,-0.49999503997341521,0,1
32,0.0031999999999999984,1,1,0.49999503999714873,0.0015999950399849,0,-0.0032000042155112852,0.49999503997341521,0,1
33,0.0032999999999999982,0,1,-0.49999471999672718,-0.0016499945439822415,0,0.0033000046634951829,-0.49999471996979922,0,1
33,0.0032999999999999982,1,1,0.49999471999672718,0.0016499945439822415,0,-0.0033000046634951829,0.49999471996979922,0,1
34,0.0033999999999999981,0,1,-0.49999438999626084,-0.0016999940159792214,0,0.0034000051419789856,-0.49999438996582657,0,1
34,0.0033999999999999981,1,1,0.49999438999626084,0.0016999940159792214,0,-0.0034000051419789856,0.49999438996582657,0,1
35,0.0034999999999999979,0,1,-0.49999404999574665,-0.001749993454975804,0,0.0035000056519626892,-0.49999404996147456,0,1
35,0.0034999999999999979,1,1,0.49999404999574665,0.001749993454975804,0,-0.0035000056519626892,0.49999404996147456,0,1
36,0.0035999999999999977,0,1,-0.49999369999518145,-0.0017999928599719515,0,0.0036000061944462896,-0.49999369995671983,0,1
36,0.0035999999999999977,1,1,0.49999369999518145,0.0017999928599719515,0,-0.0036000061944462896,0.49999369995671983,0,1
37,0.0036999999999999976,0,1,-0.49999333999456202,-0.0018499922299676235,0,0.0037000067704297821,-0.49999333995153822,0,1
37,0.0036999999999999976,1,1,0.49999333999456202,0.0018499922299676235,0,-0.0037000067704297821,0.49999333995153822,0,1
38,0.0037999999999999974,0,1,-0.49999296999388498,-0.0018999915639627773,0,0.0038000073809131632,-0.49999296994590497,0,1
38,0.0037999999999999974,1,1,0.49999296999388498,0.0018999915639627773,0,-0.0038000073809131632,0.49999296994590497,0,1
39,0.0038999999999999972,0,1,-0.49999258999314689,-0.0019499908609573679,0,0.0039000080268964286,-0.49999258993979456,0,1
39,0.0038999999999999972,1,1,0.49999258999314689,0.0019499908609573679,0,-0.0039000080268964286,0.49999258993979456,0,1
40,0.0039999999999999975,0,1,-0.49999219999234418,-0.0019999901199513471,0,0.0040000087093795744,-0.49999219993318078,0,1
40,0.0039999999999999975,1,1,0.49999219999234418,0.0019999901199513471,0,-0.0040000087093795744,0.49999219993318078,0,1
41,0.0040999999999999977,0,1,-0.49999179999147325,-0.0020499893399446652,0,0.0041000094293625966,-0.49999179992603676,0,1
41,0.0040999999999999977,1,1,0.49999179999147325,0.0020499893399446652,0,-0.0041000094293625966,0.49999179992603676,0,1
42,0.004199999999999998,0,1,-0.49999138999053033,-0.0020999885199372687,0,0.0042000101878454914,-0.49999138991833486,0,1
42,0.004199999999999998,1,1,0.49999138999053033,0.0020999885199372687,0,-0.0042000101878454914,0.49999138991833486,0,1
43,0.0042999999999999983,0,1,-0.49999096998951154,-0.0021499876589291022,0,0.0043000109858282549,-0.49999096991004682,0,1
43,0.0042999999999999983,1,1,0.49999096998951154,0.0021499876589291022,0,-0.0043000109858282549,0.49999096991004682,0,1
44,0.0043999999999999985,0,1,-0.49999053998841297,-0.002199986755920107,0,0.0044000118243108831,-0.49999053990114362,0,1
44,0.0043999999999999985,1,1,0.49999053998841297,0.002199986755920107,0,-0.0044000118243108831,0.49999053990114362,0,1
45,0.0044999999999999988,0,1,-0.49999009998723054,-0.0022499858099102213,0,0.004500012704293373,-0.49999009989159554,0,1
